Rank,Feature Name,Gain,Weight,Cover
1,affected_services_count,9300.115234375,86.0,4695.90380859375
2,warn_log_count,4333.20361328125,24.0,2627.647705078125
3,propagation_depth,50.25508499145508,2.0,52.045677185058594
4,healthy_services_count,6.70466947555542,1.0,8.316574096679688
5,workflow_name,0.0,0.0,0.0
6,failed_requests,0.0,0.0,0.0
7,success_rate,0.0,0.0,0.0
8,request_volume,0.0,0.0,0.0
9,primary_service,0.0,0.0,0.0
10,cpu_usage,0.0,0.0,0.0
11,memory_usage,0.0,0.0,0.0
12,p95_latency,0.0,0.0,0.0
13,average_latency,0.0,0.0,0.0
14,p99_latency,0.0,0.0,0.0
15,info_log_count,0.0,0.0,0.0
16,error_rate,0.0,0.0,0.0
17,successful_requests,0.0,0.0,0.0
18,debug_log_count,0.0,0.0,0.0
19,error_log_count,0.0,0.0,0.0
20,retry_count,0.0,0.0,0.0
21,critical_log_count,0.0,0.0,0.0
22,database_state,0.0,0.0,0.0
23,cache_state,0.0,0.0,0.0
24,network_state,0.0,0.0,0.0
25,queue_length,0.0,0.0,0.0
26,external_api_state,0.0,0.0,0.0
27,cpu_trend,0.0,0.0,0.0
28,latency_trend,0.0,0.0,0.0
29,memory_trend,0.0,0.0,0.0
30,error_rate_trend,0.0,0.0,0.0
31,degraded_services_count,0.0,0.0,0.0
32,critical_services_count,0.0,0.0,0.0
33,propagation_chain_length,0.0,0.0,0.0
