Sample Index,Classification Status,Actual Label,Predicted Label,Prediction Probability (%),Top Positive Features,Top Negative Features,Top 5 SHAP Features
20776,Correct,Normal,Normal,100.0,,"affected_services_count (-8.851), warn_log_count (-2.271), propagation_depth (-0.187)","affected_services_count (-8.851), warn_log_count (-2.271), propagation_depth (-0.187), healthy_services_count (-0.081), workflow_name (0.000)"
10883,Correct,Normal,Normal,100.0,,"affected_services_count (-8.851), warn_log_count (-2.271), propagation_depth (-0.187)","affected_services_count (-8.851), warn_log_count (-2.271), propagation_depth (-0.187), healthy_services_count (-0.081), workflow_name (0.000)"
14229,Correct,Normal,Normal,100.0,,"affected_services_count (-8.851), warn_log_count (-2.271), propagation_depth (-0.187)","affected_services_count (-8.851), warn_log_count (-2.271), propagation_depth (-0.187), healthy_services_count (-0.081), workflow_name (0.000)"
35009,Correct,Normal,Normal,100.0,,"affected_services_count (-8.851), warn_log_count (-2.271), propagation_depth (-0.187)","affected_services_count (-8.851), warn_log_count (-2.271), propagation_depth (-0.187), healthy_services_count (-0.081), workflow_name (0.000)"
34078,Correct,Normal,Normal,100.0,,"affected_services_count (-8.851), warn_log_count (-2.271), propagation_depth (-0.187)","affected_services_count (-8.851), warn_log_count (-2.271), propagation_depth (-0.187), healthy_services_count (-0.081), workflow_name (0.000)"
10889,Correct,Normal,Normal,100.0,,"affected_services_count (-8.851), warn_log_count (-2.271), propagation_depth (-0.187)","affected_services_count (-8.851), warn_log_count (-2.271), propagation_depth (-0.187), healthy_services_count (-0.081), workflow_name (0.000)"
20802,Correct,Normal,Normal,100.0,,"affected_services_count (-8.851), warn_log_count (-2.271), propagation_depth (-0.187)","affected_services_count (-8.851), warn_log_count (-2.271), propagation_depth (-0.187), healthy_services_count (-0.081), workflow_name (0.000)"
24147,Correct,Normal,Normal,100.0,,"affected_services_count (-8.851), warn_log_count (-2.271), propagation_depth (-0.187)","affected_services_count (-8.851), warn_log_count (-2.271), propagation_depth (-0.187), healthy_services_count (-0.081), workflow_name (0.000)"
17634,Correct,Normal,Normal,100.0,,"affected_services_count (-8.851), warn_log_count (-2.271), propagation_depth (-0.187)","affected_services_count (-8.851), warn_log_count (-2.271), propagation_depth (-0.187), healthy_services_count (-0.081), workflow_name (0.000)"
1963,Correct,Normal,Normal,100.0,,"affected_services_count (-8.851), warn_log_count (-2.271), propagation_depth (-0.187)","affected_services_count (-8.851), warn_log_count (-2.271), propagation_depth (-0.187), healthy_services_count (-0.081), workflow_name (0.000)"
