Rank,Feature,Mean Absolute SHAP Value
1,affected_services_count,8.52200698852539
2,warn_log_count,2.218045711517334
3,propagation_depth,0.18487930297851562
4,healthy_services_count,0.08049095422029495
5,workflow_name,0.0
6,failed_requests,0.0
7,success_rate,0.0
8,request_volume,0.0
9,primary_service,0.0
10,cpu_usage,0.0
11,memory_usage,0.0
12,p95_latency,0.0
13,average_latency,0.0
14,p99_latency,0.0
15,info_log_count,0.0
16,error_rate,0.0
17,successful_requests,0.0
18,debug_log_count,0.0
19,error_log_count,0.0
20,retry_count,0.0
21,critical_log_count,0.0
22,database_state,0.0
23,cache_state,0.0
24,network_state,0.0
25,queue_length,0.0
26,external_api_state,0.0
27,cpu_trend,0.0
28,latency_trend,0.0
29,memory_trend,0.0
30,error_rate_trend,0.0
31,degraded_services_count,0.0
32,critical_services_count,0.0
33,propagation_chain_length,0.0
