Rank,Feature Name,Gain,Weight,Cover
1,affected_services_count,3774.713134765625,176.0,10080.3896484375
2,warn_log_count,2454.41259765625,34.0,7600.55859375
3,database_state,2049.494140625,37.0,3037.14990234375
4,degraded_services_count,1391.41845703125,6.0,5548.41259765625
5,healthy_services_count,1305.5306396484375,7.0,4371.1767578125
6,propagation_depth,1009.7438354492188,7.0,6450.95263671875
7,cpu_usage,897.9447631835938,478.0,2858.133544921875
8,primary_service,438.12353515625,39.0,2655.4697265625
9,memory_usage,307.8236389160156,559.0,1867.54248046875
10,info_log_count,116.7657241821289,33.0,3286.249755859375
11,workflow_name,35.12990188598633,55.0,581.9295043945312
12,external_api_state,34.71166229248047,1.0,3.2816569805145264
13,network_state,33.408363342285156,11.0,1089.00732421875
14,memory_trend,32.13639831542969,512.0,279.0904846191406
15,propagation_chain_length,31.274566650390625,3.0,473.3465270996094
16,cpu_trend,12.121124267578125,301.0,301.13720703125
17,cache_state,10.752998352050781,4.0,3571.560546875
18,p95_latency,7.306485652923584,207.0,128.52444458007812
19,request_volume,5.589148044586182,443.0,120.29222869873047
20,successful_requests,4.025848388671875,278.0,137.4804229736328
21,p99_latency,3.8446929454803467,39.0,197.010986328125
22,latency_trend,1.5072131156921387,233.0,383.59759521484375
23,average_latency,1.3278007507324219,188.0,194.4312286376953
24,queue_length,0.8999612331390381,309.0,51.64418029785156
25,success_rate,0.8661583662033081,72.0,280.9203186035156
26,error_rate_trend,0.8054835200309753,161.0,345.9008483886719
27,error_rate,0.7059231400489807,16.0,162.71096801757812
28,failed_requests,0.5208485722541809,9.0,17.26276397705078
29,retry_count,0.5011947154998779,72.0,25.316162109375
30,critical_services_count,0.4488036632537842,1.0,14.521873474121094
31,error_log_count,0.0,0.0,0.0
32,debug_log_count,0.0,0.0,0.0
33,critical_log_count,0.0,0.0,0.0
