sample_index,actual_label,predicted_label,prediction_confidence_pct
26637,CPU,MEMORY,96.53
37011,LOG,MEMORY,96.31
21528,LOG,MEMORY,89.92
6780,CPU,MEMORY,89.67
36442,CPU,MEMORY,88.28
39242,MEMORY,CPU,86.69
18607,MEMORY,CPU,84.17
18320,MEMORY,CPU,80.88
18917,MEMORY,CPU,79.96
15590,MEMORY,CPU,77.52
12848,LOG,MEMORY,77.35
14943,MEMORY,CPU,75.68
13447,CPU,MEMORY,75.56
20633,CPU,MEMORY,75.17
22644,CPU,MEMORY,72.63
2873,MEMORY,CPU,70.58
12754,LOG,MEMORY,69.84
9326,MEMORY,CPU,63.74
9625,LOG,MEMORY,63.3
23843,CPU,MEMORY,62.69
22913,MEMORY,CPU,58.63
11647,CPU,MEMORY,57.4
13256,CPU,MEMORY,56.2
15213,LOG,MEMORY,53.79
29272,MEMORY,LOG,52.02
15008,MEMORY,CPU,51.87
29416,MEMORY,CPU,50.95
18606,CPU,MEMORY,50.04
