Sample Index,Classification Status,Actual Label,Predicted Label,Prediction Confidence (%),Top Positive Features,Top Negative Features,Top 5 SHAP Features
37384,Correct,LOG,LOG,99.99,"affected_services_count (+2.104), cpu_usage (+1.824), memory_usage (+0.629)","info_log_count (-0.048), cpu_trend (-0.048), workflow_name (-0.036)","affected_services_count (2.104), cpu_usage (1.824), memory_usage (0.629), warn_log_count (0.355), database_state (0.158)"
38511,Correct,NONE,NONE,100.0,"affected_services_count (+4.390), warn_log_count (+1.053), propagation_depth (+0.105)",,"affected_services_count (4.390), warn_log_count (1.053), propagation_depth (0.105), healthy_services_count (0.104), propagation_chain_length (0.053)"
28358,Correct,NONE,NONE,100.0,"affected_services_count (+4.390), warn_log_count (+1.053), propagation_depth (+0.105)",,"affected_services_count (4.390), warn_log_count (1.053), propagation_depth (0.105), healthy_services_count (0.104), propagation_chain_length (0.053)"
12905,Correct,LOG,LOG,100.0,"affected_services_count (+2.165), cpu_usage (+1.825), memory_usage (+0.533)","cpu_trend (-0.075), workflow_name (-0.025), queue_length (-0.017)","affected_services_count (2.165), cpu_usage (1.825), memory_usage (0.533), warn_log_count (0.357), database_state (0.128)"
18687,Correct,CPU,CPU,99.99,"cpu_usage (+3.861), memory_usage (+1.473), primary_service (+0.416)","memory_trend (-0.104), successful_requests (-0.025), network_state (-0.005)","cpu_usage (3.861), memory_usage (1.473), primary_service (0.416), workflow_name (0.164), memory_trend (-0.104)"
9936,Correct,LOG,LOG,100.0,"affected_services_count (+2.105), cpu_usage (+1.823), memory_usage (+0.606)","cpu_trend (-0.074), degraded_services_count (-0.042), workflow_name (-0.033)","affected_services_count (2.105), cpu_usage (1.823), memory_usage (0.606), warn_log_count (0.354), info_log_count (0.155)"
15972,Correct,LOG,LOG,99.99,"affected_services_count (+2.102), cpu_usage (+1.823), memory_usage (+0.620)","memory_trend (-0.034), workflow_name (-0.032), info_log_count (-0.023)","affected_services_count (2.102), cpu_usage (1.823), memory_usage (0.620), warn_log_count (0.355), database_state (0.118)"
12157,Correct,LOG,LOG,100.0,"affected_services_count (+2.169), cpu_usage (+1.824), memory_usage (+0.537)","cpu_trend (-0.040), workflow_name (-0.025), queue_length (-0.016)","affected_services_count (2.169), cpu_usage (1.824), memory_usage (0.537), warn_log_count (0.358), database_state (0.131)"
6525,Correct,NONE,NONE,100.0,"affected_services_count (+4.390), warn_log_count (+1.053), propagation_depth (+0.105)",,"affected_services_count (4.390), warn_log_count (1.053), propagation_depth (0.105), healthy_services_count (0.104), propagation_chain_length (0.053)"
39687,Correct,LOG,LOG,100.0,"affected_services_count (+2.168), cpu_usage (+1.823), memory_usage (+0.590)","cpu_trend (-0.058), info_log_count (-0.051), queue_length (-0.016)","affected_services_count (2.168), cpu_usage (1.823), memory_usage (0.590), warn_log_count (0.357), database_state (0.145)"
