Rank,Feature,Mean Absolute SHAP Value
1,affected_services_count,1.7714042663574219
2,cpu_usage,1.72623872756958
3,memory_usage,1.2024221420288086
4,warn_log_count,0.3753538429737091
5,database_state,0.15408656001091003
6,healthy_services_count,0.07533425837755203
7,memory_trend,0.07244255393743515
8,primary_service,0.06916891038417816
9,p95_latency,0.06623038649559021
10,average_latency,0.05361619219183922
11,queue_length,0.05336068570613861
12,propagation_depth,0.05285130441188812
13,cpu_trend,0.038786325603723526
14,workflow_name,0.037312570959329605
15,successful_requests,0.033805690705776215
16,request_volume,0.02955903671681881
17,info_log_count,0.02729611285030842
18,propagation_chain_length,0.013305122032761574
19,p99_latency,0.011889101937413216
20,latency_trend,0.011792556382715702
21,degraded_services_count,0.009830833412706852
22,retry_count,0.006514098960906267
23,error_rate_trend,0.005301528610289097
24,network_state,0.004132148344069719
25,success_rate,0.003346602199599147
26,error_rate,0.0030480630230158567
27,cache_state,0.0008480321848765016
28,failed_requests,0.000701074197422713
29,critical_services_count,0.00017879807273857296
30,external_api_state,5.739126936532557e-05
31,error_log_count,0.0
32,debug_log_count,0.0
33,critical_log_count,0.0
